                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7153,                 3.3467,                 1.4995,                  0.006,                0.81818,                 0.4209,                0.27351,                0.95907,                 2.7711,                 1.1056,                      0,                      0,                      0
                      2,                 2.1407,                 3.3473,                 1.9278,                  0.006,                0.81818,                0.42172,                0.26997,                0.96281,                 2.7749,                 1.1126,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 2.1399,                 3.4271,                 1.8656,                  0.006,                0.81818,                  0.404,                0.28469,                 0.9603,                 2.7787,                 1.1178,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                  1.912,                 3.2391,                 1.8141,                  0.006,                0.81818,                0.47309,                0.30783,                0.95404,                 2.7718,                 1.1149,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 2.1784,                 3.2666,                  1.993,                  0.006,                0.81818,                0.41938,                0.28582,                0.94924,                 2.7742,                 1.1207,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 2.4116,                 3.4846,                 2.0209,                  0.006,                0.81818,                0.53786,                0.39144,                 1.0385,                 2.7807,                 1.1306,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                 1.8376,                 3.4244,                 1.6988,                  0.006,                0.81818,                0.54589,                0.41121,                 1.0314,                 2.7872,                 1.1362,             0.00011857,             0.00011857,             0.00011857
                      8,                 1.7844,                 3.1288,                 1.6221,                  0.006,                0.81818,                0.71397,                0.55297,                 1.0166,                 2.7617,                 1.0936,             0.00013806,             0.00013806,             0.00013806
                      9,                 1.8518,                 2.8245,                 1.8471,                0.00667,                0.90909,                0.77017,                 0.5356,                 1.1179,                 2.7637,                 1.1337,             0.00015747,             0.00015747,             0.00015747
                     10,                 1.8189,                  2.971,                  1.602,                0.00667,                0.90909,                0.80726,                0.51709,                 1.2479,                 2.7743,                  1.212,             0.00017679,             0.00017679,             0.00017679
                     11,                  1.661,                 2.7002,                 1.4842,                0.00667,                0.90909,                0.78875,                 0.4645,                 1.3245,                 2.7809,                 1.3094,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.1888,                 1.9094,                 1.1719,                0.01479,                0.81818,                0.80031,                0.48836,                 1.3527,                 2.6127,                 1.4584,             0.00021521,             0.00021521,             0.00021521
                     13,                 1.7436,                 2.0071,                 1.5827,                      1,                0.44042,                0.78419,                0.52405,                 1.4027,                 2.4335,                 1.5296,              0.0002343,              0.0002343,              0.0002343
                     14,                 1.4718,                 1.7958,                 1.3808,                      1,                0.59335,                 0.7853,                0.50841,                 1.3245,                 2.2223,                 1.4325,             0.00025331,             0.00025331,             0.00025331
                     15,                 1.2816,                  1.976,                 1.2543,                0.98538,                0.63636,                0.79868,                0.50857,                 1.4392,                 2.1389,                 1.3769,             0.00027224,             0.00027224,             0.00027224
